time,true_lambda_2,avg_local_lambda_proxy,active_network_edges,count_regime_stable,count_regime_fragmented,hibernation_coverage,hibernation_auction
1.0,5.920778590732213e-15,0.0,979,200,0,0.0,0.0
6.0,0.13564091705279932,8.055,874,200,0,0.0,0.0
11.0,0.14989371540020513,9.205,838,200,0,0.0,0.0
16.0,0.15093269483499988,9.82,816,0,36,0.0,0.0
21.0,0.13982438291414298,10.335,804,0,27,0.0,0.0
26.0,0.1448947549331618,10.785,790,0,25,0.0,0.0
31.0,0.1478168161122176,11.225,795,0,24,0.0,0.0
36.0,0.14933923656467574,11.67,801,0,28,0.0,0.0
41.0,0.1384808168485399,12.07,793,0,37,0.6885747578125001,0.37714951562499993
46.0,0.14014092102773396,12.64,793,0,54,0.6602885441406251,0.3205770882812499
51.0,0.0,13.5,811,0,68,0.6362452625195313,0.27249052503906246
56.0,0.0,14.528795811518325,849,0,91,0.6158084731416017,0.2316169462832031
61.0,4.871103520542874e-15,15.810526315789474,882,0,116,0.5984372021703613,0.19687440434072262
66.0,9.75608482871117e-15,17.409574468085108,931,0,141,0.6746077500191235,0.2563090249396142
71.0,0.0,18.596774193548388,971,0,148,0.571120878568086,0.1422417571361721
76.0,2.498001805406602e-16,19.180790960451976,970,0,149,0.5604527467828732,0.12090549356574629
81.0,0.0,19.373493975903614,969,0,145,0.0,0.0
86.0,1.9997892231060632e-14,19.55263157894737,1013,0,134,0.6362452625195313,0.27249052503906246
91.0,6.813993813636898e-15,20.884057971014492,1048,0,123,0.6158084731416016,0.2316169462832031
96.0,0.0,22.1984126984127,1082,0,114,0.6173412323449463,0.22911363322218775
101.0,-6.17755380286153e-16,23.537735849056602,1110,0,96,0.5836716218448071,0.16734324368961423
106.0,-3.0206082372213924e-15,24.435294117647057,1149,0,74,0.571120878568086,0.1422417571361721
111.0,0.0,25.223684210526315,1151,0,68,0.5604527467828732,0.12090549356574629
116.0,0.0,25.64516129032258,1169,0,54,0.5513848347654422,0.10276966953088434
121.0,0.0,25.847457627118644,1159,0,52,0.5436771095506259,0.0873542191012517
126.0,5.447388991755019e-15,24.270833333333332,1163,0,47,0.0,0.0
131.0,5.242586601986484e-15,25.05,1150,0,40,0.0,0.0
136.0,9.632829510833319e-15,24.794871794871796,1123,0,39,0.0,0.0
141.0,0.0,25.38888888888889,1151,0,36,0.0,0.0
146.0,0.0,25.742857142857144,1142,0,35,0.0,0.0
151.0,0.0,26.25,1143,0,32,0.0,0.0
156.0,0.0,24.857142857142858,1135,0,28,0.0,0.0
161.0,0.0,24.892857142857142,1118,0,28,0.0,0.0
166.0,-5.5831735023017886e-15,24.307692307692307,1100,0,26,0.0,0.0
171.0,0.0,22.833333333333332,1123,0,24,0.0,0.0
176.0,-5.5164257680748e-15,22.347826086956523,1126,0,23,0.0,0.0
181.0,7.152336017380122e-16,22.347826086956523,1108,0,23,0.0,0.0
186.0,0.0,21.954545454545453,1104,0,22,0.0,0.0
191.0,0.0,21.238095238095237,1099,0,21,0.0,0.0
196.0,0.0,20.45,1088,0,20,0.0,0.0
201.0,0.0,19.68421052631579,1096,0,19,0.0,0.0
206.0,0.0,19.555555555555557,1094,0,18,0.0,0.0
211.0,1.2677111644048244e-14,19.1875,1093,0,16,0.0,0.0
216.0,0.0,18.857142857142858,1092,0,14,0.0,0.0
221.0,1.3877787807814457e-16,18.857142857142858,1095,0,14,0.0,0.0
226.0,0.0,19.636363636363637,1097,0,11,0.0,0.0
231.0,0.0,19.8,1097,0,10,0.0,0.0
236.0,0.0,20.88888888888889,1097,0,9,0.0,0.0
241.0,1.6847634939281435e-14,20.88888888888889,1099,0,9,0.0,0.0
246.0,0.0,20.88888888888889,1098,0,9,0.0,0.0
251.0,0.0,20.88888888888889,1098,0,9,0.0,0.0
256.0,0.0,20.88888888888889,1098,0,9,0.0,0.0
261.0,0.0,20.88888888888889,1098,0,9,0.0,0.0
266.0,0.0,20.88888888888889,1102,0,9,0.0,0.0
271.0,0.0,20.88888888888889,1103,0,9,0.0,0.0
276.0,0.0,20.88888888888889,1102,0,9,0.0,0.0
281.0,1.1907141939104804e-14,20.88888888888889,1101,0,9,0.0,0.0
286.0,1.1907141939104804e-14,20.88888888888889,1101,0,9,0.0,0.0
291.0,1.1907141939104804e-14,19.25,1101,0,8,0.0,0.0
296.0,1.1907141939104804e-14,19.25,1101,0,8,0.0,0.0
301.0,0.0,19.25,1102,0,8,0.0,0.0
306.0,0.0,19.25,1102,0,8,0.0,0.0
311.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
316.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
321.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
326.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
331.0,0.0,19.428571428571427,1102,0,7,0.0,0.0
336.0,0.0,19.428571428571427,1102,0,7,0.0,0.0
341.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
346.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
351.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
356.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
361.0,0.0,19.428571428571427,1102,0,7,0.0,0.0
366.0,0.0,19.428571428571427,1102,0,7,0.0,0.0
371.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
376.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
381.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
386.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
391.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
396.0,0.0,19.428571428571427,1102,0,7,0.0,0.0
401.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
406.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
411.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
416.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
421.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
426.0,0.0,19.428571428571427,1102,0,7,0.0,0.0
431.0,0.0,19.428571428571427,1102,0,7,0.0,0.0
436.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
441.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
446.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
451.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
456.0,0.0,19.428571428571427,1102,0,7,0.0,0.0
461.0,0.0,19.428571428571427,1102,0,7,0.0,0.0
466.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
471.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
476.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
481.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
486.0,0.0,19.428571428571427,1102,0,7,0.0,0.0
491.0,0.0,19.428571428571427,1102,0,7,0.0,0.0
496.0,1.1907141939104804e-14,19.428571428571427,1101,0,7,0.0,0.0
