time,baseline_active_drones,framework_active_drones,baseline_total_energy,framework_total_energy
1.0,50,50,553.1102252115268,553.1102252115268
6.0,50,50,459.19033971580876,459.19033971580876
11.0,50,50,388.256173106464,388.256173106464
16.0,49,49,314.7155464891876,314.3716990074907
21.0,44,44,237.90072948831215,236.46387704141168
26.0,43,43,156.98398333385097,153.3978032106936
31.0,32,32,95.16169473341184,92.52179516287872
36.0,23,23,65.21823806070557,62.96966796883092
41.0,20,19,52.27387197215546,48.788614927259786
46.0,16,15,42.940700783021896,38.89295196080786
51.0,13,12,33.016234679555566,30.351697658861934
56.0,11,10,26.37195647647463,24.3941745489321
61.0,10,8,21.15019485155638,21.13952531760874
66.0,9,7,17.435044811009526,17.942741712015106
71.0,7,6,13.58156892224558,15.495857212522036
76.0,6,4,11.884385020589962,15.377163410788473
81.0,6,4,11.785847030062108,15.288095154749984
86.0,6,4,11.696584601221854,15.20491178089925
91.0,6,4,11.617076767747879,15.124938209593974
96.0,6,4,11.543987746976986,15.049681937395725
101.0,6,4,11.478345125791652,14.959871333685777
106.0,6,4,11.073469291925342,14.898221120901402
111.0,5,4,11.002029148463759,14.817120319550394
116.0,5,4,10.954403431696845,14.741855167813826
121.0,5,4,10.624893677685165,14.684811616475956
126.0,4,4,9.885531044186685,14.614373832921405
131.0,4,4,8.931101513062435,14.54762972186361
136.0,4,4,7.8062172614399055,14.48821654426537
141.0,4,4,6.284447966230637,14.41515161221973
146.0,4,4,4.976962592704517,14.353196300917256
151.0,2,4,3.304115400722429,14.284598727697693
156.0,2,4,2.2941154007224296,14.22200423603206
161.0,2,4,1.284115400722429,14.149831421485693
166.0,1,4,0.7615859739125856,14.092054393422881
171.0,1,4,0.25658597391258553,14.015891073644415
176.0,0,4,0.0,13.96185606096833
181.0,0,4,0.0,13.89324225346007
186.0,0,4,0.0,13.82903824688305
191.0,0,4,0.0,13.759916095465933
196.0,0,4,0.0,13.702487311845317
201.0,0,4,0.0,13.634556091139387
206.0,0,4,0.0,13.572228165789374
211.0,0,4,0.0,13.511781045541914
216.0,0,4,0.0,13.440381010982199
221.0,0,4,0.0,13.38197159003264
226.0,0,4,0.0,13.317731124252816
231.0,0,4,0.0,13.246394650620468
236.0,0,4,0.0,13.189119276620385
241.0,0,4,0.0,13.123821802016696
246.0,0,4,0.0,13.059454560053572
251.0,0,4,0.0,12.991716647470694
256.0,0,4,0.0,12.930286123792431
261.0,0,4,0.0,12.862560693497219
266.0,0,4,0.0,12.8017693683683
271.0,0,4,0.0,12.734053408080737
276.0,0,4,0.0,12.671885597880362
281.0,0,4,0.0,12.61156759866848
286.0,0,4,0.0,12.540310543379977
291.0,0,4,0.0,12.481989652979196
296.0,0,4,0.0,12.417837675243863
