time,baseline_active_drones,framework_active_drones,baseline_total_energy,framework_total_energy
1.0,50,50,553.1102252115268,553.1102252115268
6.0,50,50,457.4803794996537,457.4803794996537
11.0,50,50,365.33529152504076,365.33529152504076
16.0,46,46,254.1576248662294,254.21453902405787
21.0,37,36,149.5415351645305,147.98561536637024
26.0,29,26,85.17748452676989,83.49387524287447
31.0,21,21,58.349465302171986,56.853227233871635
36.0,16,18,38.666268226546045,37.65517438353463
41.0,12,14,28.568895260827112,25.01325638929973
46.0,7,7,21.8401687253454,19.147706478849422
51.0,7,6,20.473618988570713,17.536025386982026
56.0,6,6,19.02965991455618,15.752080957348621
61.0,6,5,17.111257651541706,14.25422457510769
66.0,6,5,16.127661626876872,13.685551833816683
71.0,5,4,15.713838030107727,13.47304226824329
76.0,5,4,15.688838030107732,13.37586685971458
81.0,5,4,15.663838030107735,13.355866859714585
86.0,5,4,15.038838030107733,12.735866859714585
91.0,5,4,14.013838030107731,11.71586685971458
96.0,5,4,12.388838030107726,10.695866859714574
101.0,4,3,9.699356595085973,9.034942797877292
106.0,4,3,8.679356595085972,8.019942797877292
111.0,4,3,8.459356595085975,7.804942797877293
116.0,4,3,8.439356595085975,7.789942797877295
121.0,4,3,8.019356595085977,7.774942797877296
126.0,3,3,7.071838433360732,7.759942797877297
131.0,3,3,5.621504135558473,7.744942797877299
136.0,2,3,4.718435736431708,7.729942797877301
141.0,2,3,3.766341446005898,7.714942797877303
146.0,2,3,2.756341446005898,7.699942797877304
151.0,2,3,1.746341446005899,7.684942797877306
156.0,1,3,0.7688829675417473,7.669942797877308
161.0,1,3,0.2638829675417471,7.654942797877309
166.0,0,3,0.0,7.6399427978773105
171.0,0,3,0.0,7.6249427978773126
176.0,0,3,0.0,7.609942797877315
181.0,0,3,0.0,7.594942797877316
186.0,0,3,0.0,7.579942797877317
191.0,0,3,0.0,7.564942797877318
196.0,0,3,0.0,7.5499427978773195
201.0,0,3,0.0,7.534942797877321
206.0,0,3,0.0,7.519942797877322
211.0,0,3,0.0,7.504942797877322
216.0,0,3,0.0,7.489942797877324
221.0,0,3,0.0,7.474942797877325
226.0,0,3,0.0,7.459942797877327
231.0,0,3,0.0,7.444942797877327
236.0,0,3,0.0,7.429942797877327
241.0,0,3,0.0,7.4149427978773295
246.0,0,3,0.0,7.39994279787733
251.0,0,3,0.0,7.384942797877331
256.0,0,3,0.0,7.369942797877332
261.0,0,3,0.0,7.354942797877333
266.0,0,3,0.0,7.339942797877335
271.0,0,3,0.0,7.324942797877336
276.0,0,3,0.0,7.309942797877337
281.0,0,3,0.0,7.294942797877338
286.0,0,3,0.0,7.2799427978773394
291.0,0,3,0.0,7.264942797877341
296.0,0,3,0.0,7.249942797877342
