time,avg_network_delay,max_velocity_cmd_run_A,max_velocity_cmd_run_B,clamped_events_count,hibernation_coverage,hibernation_auction
1.0,0.5,0.0,0.0,0,0.0,0.0
6.0,0.5,0.0,2.0,0,0.0,0.0
11.0,0.5,0.0,2.0,0,0.0,0.0
16.0,0.5,0.0,2.0,53,0.0,0.0
21.0,0.5,0.0,2.0000000000000004,108,0.0,0.0
26.0,0.5,0.0,2.0,162,0.0,0.0
31.0,0.5,0.0,2.0,214,0.0,0.0
36.0,0.5,0.0,2.0000000000000004,264,0.0,0.0
41.0,0.5,0.0,2.0,313,0.0,0.0
46.0,0.5,0.0,2.0,360,0.0,0.0
51.0,0.5,0.0,2.0,405,0.6362452625195313,0.27249052503906246
56.0,0.5,0.0,2.0,449,0.6431412856416016,0.2862825712832031
61.0,0.5,0.0,2.0,494,0.6321476709203613,0.2642953418407226
66.0,0.5,0.0,2.0,536,0.6071157205663981,0.21423144113279607
71.0,0.5,0.0,2.0,581,0.571120878568086,0.14224175713617207
76.0,0.5,0.0,2.0,628,0.5604527467828732,0.12090549356574629
81.0,0.5,0.0,2.0,680,0.5513848347654422,0.10276966953088434
86.0,0.5,0.0,2.0,736,0.5436771095506259,0.0873542191012517
91.0,0.5,0.0,2.0,794,0.537125543118032,0.07425108623606394
96.0,0.5,0.0,2.0,853,0.5315567116503271,0.06311342330065435
