time,avg_network_delay,max_velocity_cmd_run_A,max_velocity_cmd_run_B,clamped_events_count
1.0,2.0,0.0,0.0,0
6.0,2.0,2.0,2.0,0
11.0,2.0,2.0,2.0,0
16.0,2.0,2.0,2.0,81
21.0,2.0,2.0,2.0,167
26.0,2.0,2.0,2.0000000000000004,255
31.0,2.0,2.0,2.0,340
36.0,2.0,2.0,2.0,427
41.0,2.0,2.0,2.0000000000000004,513
46.0,2.0,2.0,2.0,598
51.0,2.0,2.0,2.0,683
56.0,2.0,2.0,2.0,762
61.0,2.0,2.0,2.0,841
66.0,2.0,2.0,2.0,919
71.0,2.0,2.0,2.0,991
76.0,2.0,2.0,2.0,1064
81.0,2.0,2.0,2.0,1127
86.0,2.0,2.0,2.0,1184
91.0,2.0,2.0,2.0000000000000004,1238
96.0,2.0,2.0,2.0,1280
101.0,2.0,2.0,2.0,1322
106.0,2.0,2.0,2.0,1361
111.0,2.0,2.0,2.0,1391
116.0,2.0,2.0,2.0,1421
121.0,2.0,2.0,2.0,1445
126.0,2.0,1.9999999999999998,1.9999999999999998,1463
131.0,2.0,2.0,2.0,1481
136.0,2.0,2.0,1.8357080750375363,1496
141.0,2.0,2.0,1.1870006006868647,1511
146.0,2.0,2.0,2.0,1526
151.0,2.0,1.9999999999999998,2.0,1541
156.0,2.0,2.0,2.0,1556
161.0,2.0,2.0,2.0,1568
166.0,2.0,1.0,2.0,1580
171.0,2.0,1.0,1.9999999999999998,1592
176.0,2.0,1.0,0.5268076019343819,1604
181.0,2.0,1.0,0.40088837794066035,1613
186.0,2.0,1.0,0.44885494751620686,1622
191.0,2.0,1.0,0.2457586753943397,1631
196.0,2.0,1.0,0.24565288813518127,1640
