time,avg_network_delay,max_velocity_cmd_run_A,max_velocity_cmd_run_B,clamped_events_count,hibernation_coverage,hibernation_auction
1.0,2.0,0.0,0.0,0,0.0,0.0
6.0,2.0,0.0,2.0,0,0.0,0.0
11.0,2.0,0.0,2.0,0,0.0,0.0
16.0,2.0,0.0,2.0,81,0.0,0.0
21.0,2.0,0.0,2.0,167,0.0,0.0
26.0,2.0,0.0,2.0,255,0.0,0.0
31.0,2.0,0.0,2.0,340,0.0,0.0
36.0,2.0,0.0,2.0,426,0.7218526562500001,0.5712053125
41.0,2.0,0.0,2.0,512,0.6885747578125001,0.485524515625
46.0,2.0,0.0,2.0,598,0.6602885441406251,0.41269583828125
51.0,2.0,0.0,2.0,684,0.6362452625195313,0.3507914625390625
56.0,2.0,0.0,2.0,764,0.6158084731416017,0.2482558955019531
61.0,2.0,0.0,2.0,846,0.5984372021703613,0.2039459577586914
66.0,2.0,0.0,2.0,929,0.5836716218448071,0.17535767089664547
71.0,2.0,0.0,2.0,1003,0.571120878568086,0.15246015182513695
76.0,2.0,0.0,2.0,1065,0.5604527467828732,0.12090549356574627
81.0,2.0,0.0,2.0,1128,0.5513848347654422,0.10276966953088434
86.0,2.0,0.0,2.0,1179,0.0,0.0
91.0,2.0,0.0,2.0,1227,0.0,0.0
96.0,2.0,0.0,2.0,1272,0.0,0.0
101.0,2.0,0.0,1.9999999999999996,1311,0.0,0.0
106.0,2.0,0.0,2.0,1350,0.0,0.0
111.0,2.0,0.0,2.0,1389,0.0,0.0
116.0,2.0,0.0,1.9999999999999998,1419,0.0,0.0
121.0,2.0,0.0,2.0,1446,0.0,0.0
126.0,2.0,0.0,1.9999999999999998,1473,0.0,0.0
131.0,2.0,0.0,1.315722794645614,1500,0.0,0.0
136.0,2.0,0.0,0.9358404651640932,1527,0.0,0.0
141.0,2.0,0.0,0.9536980941464597,1548,0.0,0.0
146.0,2.0,0.0,0.6892804768202491,1566,0.0,0.0
151.0,2.0,0.0,0.6880115540485263,1584,0.0,0.0
156.0,2.0,0.0,0.686932969692562,1602,0.0,0.0
161.0,2.0,0.0,0.6860161729899923,1620,0.0,0.0
166.0,2.0,0.0,0.6852368957928081,1638,0.0,0.0
171.0,2.0,0.0,0.6845745101752017,1656,0.0,0.0
176.0,2.0,0.0,0.684011482400236,1674,0.0,0.0
181.0,2.0,0.0,0.6835329087915152,1692,0.0,0.0
186.0,2.0,0.0,0.6831261212241027,1710,0.0,0.0
191.0,2.0,0.0,0.6827803517918019,1728,0.0,0.0
196.0,2.0,0.0,0.6824864477743462,1746,0.0,0.0
